,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_buffer_size,params_exploration_final_eps,params_exploration_fraction,params_gamma,params_learning_rate,params_learning_starts,params_net_arch,params_subsample_steps,params_target_update_interval,params_train_freq,state
2024,2024,1,10:05.1,10:37.5,0 days 00:00:32.391575,128,10000,0.004302629,0.004823236,0.995,0.017413741,10000,tiny,2,1,4,PRUNED
2026,2026,1,11:17.1,11:53.7,0 days 00:00:36.653920,128,10000,0.00373007,0.003321973,0.9,4.18E-05,10000,tiny,2,1,4,PRUNED
2039,2039,1,19:27.9,20:04.0,0 days 00:00:36.051945,128,10000,0.004422422,0.003155065,0.9,0.278116322,10000,tiny,2,1,4,PRUNED
2045,2045,1,22:56.6,23:28.5,0 days 00:00:31.954763,128,10000,0.175321685,0.097291556,0.995,0.022555284,10000,tiny,2,1,4,PRUNED
2052,2052,1,27:05.5,27:42.4,0 days 00:00:36.914679,128,10000,0.002554423,0.004396109,0.9,5.01E-05,10000,tiny,1,1,4,PRUNED
2054,2054,1,28:24.8,28:58.5,0 days 00:00:33.681002,128,10000,0.003887215,0.012815879,0.95,0.472713449,10000,tiny,1,5000,4,PRUNED
2060,2060,1,32:21.6,32:54.1,0 days 00:00:32.444703,16,10000,0.004349146,0.009519491,0.995,0.053128741,10000,tiny,2,1,4,PRUNED
2062,2062,1,33:31.2,34:06.9,0 days 00:00:35.689467,128,10000,0.002654974,0.125424781,0.995,0.446012272,10000,tiny,1,1,4,PRUNED
2091,2091,1,52:56.2,53:28.5,0 days 00:00:32.287492,128,1000000,0.004654449,0.133721708,0.98,0.122375751,10000,tiny,2,1,4,PRUNED
2128,2128,1,18:13.0,18:44.4,0 days 00:00:31.413287,32,10000,0.001783642,0.081793166,0.98,0.004036227,10000,medium,8,5000,128,PRUNED
2138,2138,1,24:38.5,25:16.2,0 days 00:00:37.634184,128,10000,0.002942234,0.010757511,0.995,0.000324686,10000,tiny,1,1,128,PRUNED
2157,2157,1,38:03.6,38:40.9,0 days 00:00:37.292070,512,10000,0.018862257,0.123959661,0.995,0.039725769,10000,tiny,1,1,4,PRUNED
2173,2173,1,48:13.7,48:48.6,0 days 00:00:34.918256,128,10000,0.00236404,0.001866902,0.995,6.27E-05,10000,tiny,2,1,128,PRUNED
2192,2192,1,59:58.6,00:34.2,0 days 00:00:35.599806,64,1000000,0.021542364,0.028552383,0.995,0.073643093,10000,tiny,1,1,8,PRUNED
2239,2239,1,31:03.5,31:39.4,0 days 00:00:35.906955,128,1000000,0.003663112,0.001227325,0.995,0.000213178,1000,tiny,1,5000,256,PRUNED
2249,2249,1,36:53.6,37:26.4,0 days 00:00:32.816934,128,1000000,0.053382751,0.286436423,0.99,0.115160958,1000,tiny,1,5000,256,PRUNED
2257,2257,1,41:36.8,42:11.3,0 days 00:00:34.485701,128,10000,0.018412477,0.04018072,0.99,0.034450752,20000,tiny,1,1,1000,PRUNED
2263,2263,1,45:34.0,46:10.6,0 days 00:00:36.621024,128,10000,0.003492006,0.002104943,0.995,0.424194217,10000,tiny,1,1,128,PRUNED
2264,2264,1,46:10.6,46:45.1,0 days 00:00:34.482056,128,10000,0.015380181,0.036857346,0.95,5.96E-05,1000,tiny,1,1,1000,PRUNED
2270,2270,1,50:05.4,50:40.9,0 days 00:00:35.460405,128,1000000,0.019694786,0.217568826,0.995,0.007210348,1000,tiny,1,15000,128,PRUNED
2303,2303,1,11:38.7,12:15.5,0 days 00:00:36.818177,128,10000,0.004440067,0.002090376,0.9,0.029988128,10000,tiny,1,1,1000,PRUNED
2349,2349,1,41:21.2,41:55.0,0 days 00:00:33.783832,64,1000000,0.004802883,0.080763492,0.9999,0.149789783,1000,tiny,1,10000,1000,PRUNED
2380,2380,1,00:57.2,01:27.1,0 days 00:00:29.883981,128,10000,0.015078111,0.001308657,0.995,1.85E-05,1000,tiny,2,5000,1000,PRUNED
2389,2389,1,06:31.2,07:06.0,0 days 00:00:34.804616,128,10000,0.003493468,0.07458026,0.995,0.052380927,1000,tiny,1,20000,1000,PRUNED
2393,2393,1,09:13.3,09:46.8,0 days 00:00:33.474900,128,10000,0.007548798,0.020826047,0.9999,0.15957907,1000,tiny,1,20000,128,PRUNED
2399,2399,1,13:23.1,13:53.0,0 days 00:00:29.867578,128,10000,0.009443915,0.005585916,0.98,0.770714198,1000,tiny,8,20000,128,PRUNED
