,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_buffer_size,params_exploration_final_eps,params_exploration_fraction,params_gamma,params_learning_rate,params_learning_starts,params_net_arch,params_subsample_steps,params_target_update_interval,params_train_freq,state
1184,1184,45,59:42.7,00:33.9,0 days 00:00:51.230251,64,100000,0.088142632,0.003347616,0.95,0.002157482,5000,large,1,15000,256,PRUNED
1195,1195,45,07:40.2,08:20.5,0 days 00:00:40.339393,32,10000,0.004384458,0.333411028,0.995,0.000811877,10000,small,1,15000,4,PRUNED
1245,1245,45,42:15.5,43:26.6,0 days 00:01:11.058632,100,100000,0.013400574,0.181152373,0.999,0.002124038,10000,small,1,1000,1,COMPLETE
1323,1323,45,39:29.2,40:10.2,0 days 00:00:40.979935,64,100000,0.011331642,0.001111281,0.98,0.002164772,5000,small,1,20000,16,PRUNED
1400,1400,45,26:47.8,27:30.1,0 days 00:00:42.333557,128,100000,0.013775278,0.259211779,0.999,0.000153552,10000,medium,1,5000,128,PRUNED
1421,1421,45,41:17.5,41:54.6,0 days 00:00:37.095988,64,100000,0.013021883,0.001394084,0.999,0.001836634,10000,medium,2,15000,256,PRUNED
1499,1499,45,44:57.5,45:52.9,0 days 00:00:55.381150,32,100000,0.005381424,0.337240659,0.99,0.001053002,20000,large,1,15000,1,PRUNED
1672,1672,45,22:26.0,24:16.7,0 days 00:01:50.779715,64,10000,0.004537799,0.001549982,0.99,0.001575031,5000,large,1,1000,1,COMPLETE
1855,1855,45,59:20.5,00:06.4,0 days 00:00:45.896727,128,100000,0.005854944,0.131669285,0.999,0.000140417,0,small,1,15000,128,PRUNED
2843,2843,45,44:02.1,44:44.6,0 days 00:00:42.539606,128,100000,0.003868623,0.260628146,0.99,0.009336302,10000,small,1,1000,1,PRUNED
3414,3414,45,16:53.7,17:39.2,0 days 00:00:45.539918,64,10000,0.002262553,0.11608973,0.995,0.001248802,10000,small,1,10000,16,PRUNED
3465,3465,45,55:04.7,55:53.9,0 days 00:00:49.135171,64,10000,0.030380806,0.008913916,0.99,0.002672261,5000,small,1,15000,1,PRUNED
3705,3705,45,46:33.3,47:17.2,0 days 00:00:43.918720,64,100000,0.011121118,0.017772135,0.98,0.001355823,5000,small,1,10000,16,PRUNED
3715,3715,45,53:39.2,54:22.8,0 days 00:00:43.514682,64,1000000,0.002003946,0.00566009,0.99,0.00043115,5000,small,1,20000,256,PRUNED
238,238,44,20:04.0,21:49.2,0 days 00:01:45.152265,512,10000,0.018864231,0.001364268,0.9,0.002055257,5000,large,2,15000,1,COMPLETE
535,535,44,02:58.7,04:06.9,0 days 00:01:08.209566,64,100000,0.003542804,0.049343456,0.999,0.024194088,20000,small,1,1000,128,COMPLETE
554,554,44,17:16.8,17:55.6,0 days 00:00:38.814987,100,100000,0.002573603,0.004625173,0.9999,0.007825547,10000,small,1,15000,128,PRUNED
570,570,44,28:10.0,28:52.1,0 days 00:00:42.083390,64,100000,0.006233298,0.001003933,0.995,0.003856147,5000,small,2,1,256,PRUNED
678,678,44,44:35.4,45:09.4,0 days 00:00:34.021420,64,1000000,0.001998137,0.035245046,0.9999,0.006703239,5000,small,4,20000,256,PRUNED
816,816,44,30:45.9,31:32.7,0 days 00:00:46.757363,64,10000,0.001096416,0.160483329,0.995,0.002597679,5000,medium,2,20000,1,PRUNED
1508,1508,44,54:06.0,55:06.0,0 days 00:01:00.044873,256,1000000,0.01137114,0.00100001,0.99,0.000963613,10000,large,1,15000,1,PRUNED
1737,1737,44,20:12.9,20:59.7,0 days 00:00:46.870147,256,50000,0.003151568,0.001915143,0.995,0.003002707,0,small,1,1000,256,PRUNED
1865,1865,44,07:55.0,08:52.3,0 days 00:00:57.329216,512,100000,0.004150144,0.00262599,0.999,0.002479325,5000,medium,1,20000,8,PRUNED
2094,2094,44,12:19.2,13:19.5,0 days 00:01:00.257413,64,100000,0.014353339,0.431598013,0.9,0.00153697,5000,large,1,1000,1,PRUNED
2270,2270,44,35:02.8,35:41.6,0 days 00:00:38.865658,100,1000000,0.027147758,0.001410954,0.99,4.97E-05,5000,tiny,1,1000,256,PRUNED
2522,2522,44,47:13.6,47:56.4,0 days 00:00:42.797489,100,1000000,0.001555679,0.00458343,0.9,0.000247365,5000,small,1,15000,1,PRUNED
2551,2551,44,08:43.5,09:32.8,0 days 00:00:49.275888,512,100000,0.014491637,0.035503018,0.99,0.001703939,10000,small,1,20000,1,PRUNED
2663,2663,44,33:26.8,34:02.3,0 days 00:00:35.524873,100,100000,0.001111648,0.445600411,0.98,0.002232018,10000,small,2,10000,128,PRUNED
3009,3009,44,44:23.1,45:23.0,0 days 00:00:59.854180,64,100000,0.011112833,0.002913108,0.99,0.034139966,5000,small,8,15000,128,COMPLETE
3061,3061,44,15:45.1,16:22.5,0 days 00:00:37.462383,128,50000,0.001691215,0.097873894,0.99,0.012987379,10000,small,8,15000,256,PRUNED
3264,3264,44,24:14.1,25:06.9,0 days 00:00:52.770716,64,100000,0.01243094,0.209417858,0.995,0.000221434,0,large,1,15000,8,PRUNED
3379,3379,44,49:38.2,50:20.9,0 days 00:00:42.670909,100,50000,0.001744076,0.001988741,0.98,0.002384354,5000,small,1,15000,128,PRUNED
3398,3398,44,04:13.1,04:51.1,0 days 00:00:37.908436,64,100000,0.033053412,0.015888074,0.99,0.002323821,5000,tiny,1,15000,128,PRUNED
3402,3402,44,07:17.5,07:58.7,0 days 00:00:41.251281,64,100000,0.001537894,0.018774174,0.99,0.001053474,10000,small,1,15000,256,PRUNED
3408,3408,44,11:32.1,12:16.8,0 days 00:00:44.709124,100,10000,0.005508692,0.003958263,0.99,0.015101259,5000,small,1,15000,256,PRUNED
3677,3677,44,27:28.9,28:13.0,0 days 00:00:44.076195,100,100000,0.001139672,0.118380624,0.95,0.01210628,10000,small,1,1,256,PRUNED
3773,3773,44,33:18.3,34:03.3,0 days 00:00:45.004928,64,10000,0.016294445,0.058349676,0.99,0.002157965,5000,small,1,20000,256,PRUNED
836,836,43,45:13.9,46:34.0,0 days 00:01:20.051735,64,10000,0.013639713,0.00634253,0.99,0.002270621,10000,medium,1,20000,1,COMPLETE
1129,1129,43,19:19.6,20:02.4,0 days 00:00:42.769461,100,10000,0.023121335,0.007012217,0.9,0.00045185,20000,medium,1,1000,256,PRUNED
1386,1386,43,17:56.7,18:33.4,0 days 00:00:36.748483,256,100000,0.016708291,0.001130282,0.999,0.002228507,20000,tiny,1,20000,128,PRUNED
1436,1436,43,52:53.0,53:34.7,0 days 00:00:41.626072,64,50000,0.037375199,0.162236693,0.995,0.001579846,5000,small,1,20000,1,PRUNED
1470,1470,43,18:11.1,19:14.7,0 days 00:01:03.541048,512,100000,0.00282609,0.014938298,0.99,2.82E-05,10000,large,8,20000,1,PRUNED
1560,1560,43,49:23.5,50:21.1,0 days 00:00:57.612286,64,1000000,0.019651235,0.013798277,0.9999,0.000568616,5000,large,1,15000,1,PRUNED
1608,1608,43,29:34.9,30:14.8,0 days 00:00:39.875404,64,100000,0.003456712,0.407125333,0.9,0.003140388,10000,tiny,1,5000,8,PRUNED
1862,1862,43,05:21.6,06:13.5,0 days 00:00:51.867791,64,50000,0.002076592,0.035131437,0.99,0.001277165,5000,medium,2,1,128,PRUNED
2085,2085,43,05:21.8,06:08.7,0 days 00:00:46.834651,100,10000,0.023366041,0.006146027,0.9999,0.00014106,5000,small,1,15000,8,PRUNED
2216,2216,43,53:42.0,54:27.8,0 days 00:00:45.722283,512,10000,0.01089881,0.036397591,0.99,0.0007492,0,small,2,15000,1,PRUNED
2935,2935,43,49:49.1,50:40.8,0 days 00:00:51.670200,64,100000,0.115648043,0.013192558,0.999,0.001227039,10000,large,1,15000,256,PRUNED
3544,3544,43,54:36.2,55:14.6,0 days 00:00:38.484567,64,50000,0.084505702,0.001718928,0.99,0.011203214,10000,large,4,15000,4,PRUNED
3566,3566,43,10:20.4,11:02.7,0 days 00:00:42.285572,64,1000000,0.10798349,0.380205716,0.99,0.00117353,5000,small,4,15000,1,PRUNED
3663,3663,43,17:52.8,18:34.3,0 days 00:00:41.568378,32,1000000,0.019634376,0.098746733,0.95,0.001532694,10000,tiny,1,15000,4,PRUNED
3780,3780,43,38:22.0,39:06.9,0 days 00:00:44.989812,64,10000,0.164368604,0.027801922,0.99,0.000648549,10000,small,1,1000,4,PRUNED
586,586,42,41:07.9,41:52.9,0 days 00:00:44.959461,64,100000,0.003250336,0.485825726,0.995,0.000134573,10000,large,1,15000,128,PRUNED
669,669,42,37:26.6,38:05.4,0 days 00:00:38.836046,100,1000000,0.00454437,0.259947427,0.999,0.000621069,0,small,1,20000,256,PRUNED
